cat
dog
cow
pig
horse
chicken
duck
goose
sheep
goat
lion
tiger
leopard
cheetah
jaguar
elephant
giraffe
zebra
rhino
hippopotamus
kangaroo
koala
panda
bear
wolf
fox
deer
moose
buffalo
bison
camel
llama
alpaca
donkey
mule
rabbit
hare
squirrel
rat
mouse
hamster
guinea pig
ferret
weasel
otter
badger
skunk
raccoon
beaver
porcupine
bat
monkey
chimpanzee
gorilla
orangutan
baboon
sloth
anteater
armadillo
hedgehog
whale
dolphin
porpoise
seal
sea lion
walrus
shark
ray
stingray
eel
octopus
squid
cuttlefish
crab
lobster
shrimp
jellyfish
starfish
coral
sea urchin
clam
oyster
mussel
snail
slug
worm
earthworm
centipede
millipede
spider
scorpion
tick
flea
ant
bee
wasp
hornet
fly
mosquito
butterfly
moth
grasshopper
cricket
locust
beetle
ladybug
dragonfly
damselfly
firefly
termite
lizard
gecko
iguana
chameleon
snake
python
cobra
viper
anaconda
boa
frog
toad
newt
salamander
turtle
tortoise
alligator
crocodile
penguin
flamingo
swan
peacock
parrot
macaw
cockatoo
canary
finch
sparrow
robin
eagle
hawk
falcon
owl
vulture
heron
stork
crane
pigeon
dove
turkey
quail
pheasant
grouse
woodpecker
kingfisher
hummingbird
albatross
seagull
pelican
booby
ostrich
emu
cassowary
kiwi
platypus
echidna
mongoose
meerkat
hyena
jackal
wolverine
lynx
cougar
panther
caracal
ocelot
manatee
dugong
narwhal
beluga
reindeer
caribou
gazelle
antelope
ibex
okapi
tapir
aardvark
pangolin
quokka
